nodeLabel,x,y,U1,U2
1,-0.585680,-0.010035,0.751484,0.233117
2,-0.562928,-0.054376,0.951552,0.638678
3,-0.530275,-0.092151,1.376821,0.996726
4,-0.491874,-0.124129,1.867969,1.419437
5,-0.449958,-0.151367,2.497504,1.841295
6,-0.359938,-0.194759,3.985538,2.736671
7,-0.265178,-0.226621,5.750793,3.616625
8,-0.216722,-0.238974,6.726959,4.039121
9,-0.118433,-0.257357,8.870593,4.725342
10,-0.018991,-0.267879,11.119280,5.285398
11,0.080964,-0.270753,13.521768,5.629023
12,0.180829,-0.265698,16.024117,5.733761
13,0.230505,-0.259956,17.277647,5.676415
14,0.328690,-0.241129,19.942806,5.392962
15,0.423761,-0.210333,22.518257,4.822499
16,0.469011,-0.189089,23.912558,4.485403
17,0.511474,-0.162741,25.183270,3.926497
18,0.549144,-0.129962,26.458055,3.432728
19,0.578129,-0.089412,27.452696,2.548181
20,0.592096,-0.041713,28.025957,1.891565
21,0.586342,0.007996,28.191948,0.991670
22,0.563944,0.052907,27.673010,0.098872
23,0.492740,0.123497,25.840784,-1.217094
24,0.450575,0.151007,24.745525,-1.755278
25,0.359938,0.194759,22.401569,-2.711507
26,0.264490,0.226814,19.960512,-3.429688
27,0.116665,0.257612,16.234589,-4.073128
28,0.016496,0.268044,13.748902,-4.189283
29,-0.083464,0.270726,11.327040,-4.067745
30,-0.232981,0.259609,7.872431,-3.469725
31,-0.331115,0.240519,5.738562,-2.848803
32,-0.426070,0.209376,3.796737,-2.089561
33,-0.471212,0.187902,2.980788,-1.689363
34,-0.550843,0.128128,1.533853,-0.895855
35,-0.579244,0.087174,1.042033,-0.536284
36,-0.592287,0.039220,0.774579,-0.157510
37,0.900000,-1.000000,19.772955,3.262764
38,0.800000,-1.000000,18.800339,4.168028
39,0.700000,-1.000000,17.879707,5.068305
40,0.600000,-1.000000,17.024120,5.918823
41,0.500000,-1.000000,16.234758,6.680918
42,0.400000,-1.000000,15.508522,7.307049
43,0.300000,-1.000000,14.833178,7.756997
44,0.200000,-1.000000,14.180799,7.997668
45,0.100000,-1.000000,13.520565,8.015761
46,0.000000,-1.000000,12.820235,7.813672
47,-0.100000,-1.000000,12.048792,7.409764
48,-0.200000,-1.000000,11.180513,6.836432
49,-0.300000,-1.000000,10.198521,6.137391
50,-0.400000,-1.000000,9.093417,5.360747
51,-0.500000,-1.000000,7.883839,4.567892
52,-0.600000,-1.000000,6.570654,3.760599
53,-0.700000,-1.000000,5.168907,2.969701
54,-0.800000,-1.000000,3.681650,2.178571
55,-0.900000,-1.000000,2.072318,1.309860
56,1.000000,-1.000000,20.771902,2.376934
57,-1.000000,-1.000000,0.000000,0.000000
58,1.000000,0.900000,21.414679,0.949724
59,1.000000,0.800000,22.379602,1.268857
60,1.000000,0.700000,23.363611,1.615267
61,1.000000,0.600000,24.404251,1.977318
62,1.000000,0.500000,25.527302,2.316376
63,1.000000,0.400000,26.741259,2.565601
64,1.000000,0.300000,27.990547,2.640971
65,1.000000,0.200000,29.142990,2.458492
66,1.000000,0.100000,29.981552,1.989244
67,1.000000,0.000000,30.287806,1.324263
68,1.000000,-0.100000,29.948946,0.659240
69,1.000000,-0.200000,29.052135,0.202046
70,1.000000,-0.300000,27.839428,0.063421
71,1.000000,-0.400000,26.559874,0.214169
72,1.000000,-0.500000,25.366299,0.544953
73,1.000000,-0.600000,24.301210,0.956569
74,1.000000,-0.700000,23.360546,1.372956
75,1.000000,-0.800000,22.494389,1.748564
76,1.000000,-0.900000,21.643444,2.075004
77,1.000000,1.000000,20.442993,0.648368
78,-0.900000,1.000000,2.044131,-1.318899
79,-0.800000,1.000000,3.603868,-2.191708
80,-0.700000,1.000000,5.022783,-2.966792
81,-0.600000,1.000000,6.341317,-3.708760
82,-0.500000,1.000000,7.560163,-4.428710
83,-0.400000,1.000000,8.669438,-5.107095
84,-0.300000,1.000000,9.665975,-5.703321
85,-0.200000,1.000000,10.553723,-6.171844
86,-0.100000,1.000000,11.350311,-6.474350
87,0.000000,1.000000,12.082180,-6.581141
88,0.100000,1.000000,12.778132,-6.471859
89,0.200000,1.000000,13.467223,-6.153883
90,0.300000,1.000000,14.179408,-5.642876
91,0.400000,1.000000,14.937795,-4.965101
92,0.500000,1.000000,15.737630,-4.163768
93,0.600000,1.000000,16.600983,-3.266993
94,0.700000,1.000000,17.511026,-2.311565
95,0.800000,1.000000,18.461826,-1.324827
96,0.900000,1.000000,19.444475,-0.332141
97,-1.000000,1.000000,0.000000,-0.000000
98,-1.000000,-0.900000,0.000000,0.000000
99,-1.000000,-0.800000,0.000000,0.000000
100,-1.000000,-0.700000,0.000000,0.000000
101,-1.000000,-0.600000,0.000000,0.000000
102,-1.000000,-0.500000,0.000000,0.000000
103,-1.000000,-0.400000,0.000000,-0.000000
104,-1.000000,-0.300000,0.000000,-0.000000
105,-1.000000,-0.200000,0.000000,-0.000000
106,-1.000000,-0.100000,0.000000,-0.000000
107,-1.000000,0.000000,0.000000,0.000000
108,-1.000000,0.100000,0.000000,0.000000
109,-1.000000,0.200000,0.000000,0.000000
110,-1.000000,0.300000,0.000000,0.000000
111,-1.000000,0.400000,0.000000,0.000000
112,-1.000000,0.500000,0.000000,-0.000000
113,-1.000000,0.600000,0.000000,-0.000000
114,-1.000000,0.700000,0.000000,-0.000000
115,-1.000000,0.800000,0.000000,-0.000000
116,-1.000000,0.900000,0.000000,-0.000000
117,0.136792,-0.352150,14.705934,6.215652
118,-0.711760,0.037674,0.696409,0.023166
119,-0.785477,0.047889,0.593644,0.057482
120,-0.894466,0.051073,0.331752,0.057324
121,-0.899121,-0.049752,0.319880,-0.029916
122,-0.802728,-0.052563,0.575684,-0.026108
123,-0.713848,-0.103568,0.965005,0.024024
124,-0.586910,0.154056,1.799813,-0.549840
125,-0.668740,0.152580,1.407108,-0.098637
126,-0.765047,0.146599,0.963413,0.080596
127,-0.900679,0.157095,0.426472,0.117851
128,-0.388443,0.270023,5.353491,-2.546593
129,-0.471532,0.288123,4.524637,-1.902581
130,-0.566784,0.279236,3.395464,-1.068571
131,-0.675239,0.283096,2.384220,-0.418519
132,-0.800579,0.252994,1.226267,0.022994
133,-0.906879,0.249180,0.544895,0.102514
134,0.907623,0.349841,26.480734,1.652374
135,0.808705,0.348317,25.469915,0.848716
136,0.705514,0.369792,24.002920,-0.042254
137,0.571047,0.355728,22.451624,-1.153104
138,0.459884,0.355785,20.920347,-2.266650
139,0.372954,0.381203,19.348635,-3.200264
140,0.249031,0.379719,17.467051,-4.138767
141,0.017460,0.382881,13.393199,-4.832349
142,-0.042380,0.370304,12.305335,-4.720478
143,-0.146593,0.363879,10.342586,-4.399734
144,-0.259623,0.397668,8.568312,-3.958094
145,-0.360598,0.374780,6.882394,-3.144378
146,-0.468751,0.352521,5.220050,-2.158937
147,-0.570802,0.387735,4.199345,-1.478672
148,-0.701708,0.360607,2.579756,-0.555517
149,-0.802440,0.354920,1.593638,-0.167174
150,-0.902173,0.338002,0.721191,0.032465
151,0.276701,0.271619,19.374788,-3.560798
152,0.391011,0.279977,21.091684,-2.675184
153,0.445396,0.263971,22.134066,-2.060143
154,0.584848,0.279147,23.739725,-0.614854
155,0.687494,0.262513,25.261412,0.355934
156,0.818953,0.252928,26.850327,1.186030
157,0.905500,0.250527,27.732729,1.734353
158,0.578410,0.161520,25.642538,0.011717
159,0.681224,0.157192,26.777788,0.800335
160,0.803337,0.155340,27.902550,1.314066
161,0.901370,0.150415,28.799494,1.667569
162,0.709350,0.102169,27.761902,1.151686
163,0.798124,0.047475,28.730234,1.390506
164,0.899300,0.049111,29.442293,1.480360
165,0.686368,-0.035926,28.211817,1.482790
166,0.771346,-0.053082,28.533607,1.393240
167,0.900626,-0.050744,29.438040,1.237770
