nodeLabel,x,y,U1,U2
1,-0.010264,0.590537,19.102537,-18.221991
2,-0.107171,0.568931,13.030856,-15.752175
3,-0.152628,0.548667,10.430562,-14.212774
4,-0.234828,0.492788,6.399503,-10.980478
5,-0.303829,0.421165,3.348205,-8.086183
6,-0.333199,0.380964,2.295921,-6.775909
7,-0.381782,0.294126,0.811624,-4.516932
8,-0.417147,0.201098,0.031431,-2.758353
9,-0.439643,0.104141,-0.329255,-1.371896
10,-0.449451,0.005090,-0.427660,-0.191425
11,-0.449592,-0.044704,-0.420813,0.382313
12,-0.440200,-0.143792,-0.262785,1.611789
13,-0.417530,-0.240698,0.252038,3.086371
14,-0.380936,-0.333230,1.260880,4.953784
15,-0.357178,-0.376983,2.069397,6.104007
16,-0.298323,-0.457152,4.405597,8.769180
17,-0.224291,-0.523474,7.749475,11.781595
18,-0.181935,-0.549607,10.142385,13.392505
19,-0.088766,-0.583917,15.585521,16.198738
20,-0.039493,-0.590844,18.555828,17.190907
21,0.059465,-0.583096,25.546898,18.020134
22,0.152628,-0.548667,32.226250,17.230877
23,0.234828,-0.492788,38.548939,15.343430
24,0.303829,-0.421165,44.647278,12.926964
25,0.359168,-0.338484,49.960938,10.169254
26,0.401092,-0.248231,54.271984,7.188793
27,0.429987,-0.152989,57.494926,4.165003
28,0.449451,-0.005090,59.569878,-0.561488
29,0.446523,0.094402,58.920773,-3.683918
30,0.430561,0.192642,56.645592,-6.804179
31,0.401021,0.287672,52.988258,-9.822089
32,0.357178,0.376983,48.136337,-12.673176
33,0.298323,0.457152,42.429184,-15.376817
34,0.224291,0.523474,36.117489,-17.402182
35,0.136539,0.569995,29.313122,-18.812914
36,0.039493,0.590844,22.521114,-18.755083
37,0.900000,-1.000000,27.637566,-5.599617
38,0.800000,-1.000000,26.640011,-1.900180
39,0.700000,-1.000000,25.587973,1.713496
40,0.600000,-1.000000,24.474766,5.269226
41,0.500000,-1.000000,23.374208,8.795358
42,0.400000,-1.000000,22.420864,12.221519
43,0.300000,-1.000000,21.761156,15.340933
44,0.200000,-1.000000,21.468500,17.813280
45,0.100000,-1.000000,21.475677,19.236008
46,0.000000,-1.000000,21.549936,19.319687
47,-0.100000,-1.000000,21.316463,18.024248
48,-0.200000,-1.000000,20.471008,15.690025
49,-0.300000,-1.000000,18.950960,12.856529
50,-0.400000,-1.000000,16.825628,10.005057
51,-0.500000,-1.000000,14.284015,7.464646
52,-0.600000,-1.000000,11.521356,5.375730
53,-0.700000,-1.000000,8.686619,3.760959
54,-0.800000,-1.000000,5.868611,2.538993
55,-0.900000,-1.000000,3.083961,1.522411
56,1.000000,-1.000000,28.633087,-9.364634
57,-1.000000,-1.000000,0.000000,0.000000
58,1.000000,0.900000,32.461773,7.727606
59,1.000000,0.800000,36.340263,8.028712
60,1.000000,0.700000,40.360458,8.238387
61,1.000000,0.600000,44.496845,8.235175
62,1.000000,0.500000,48.668209,7.896063
63,1.000000,0.400000,52.698059,7.086233
64,1.000000,0.300000,56.299488,5.721426
65,1.000000,0.200000,59.135937,3.811990
66,1.000000,0.100000,60.946632,1.490906
67,1.000000,0.000000,61.561462,-1.048162
68,1.000000,-0.100000,60.873047,-3.571800
69,1.000000,-0.200000,58.977539,-5.842651
70,1.000000,-0.300000,56.106991,-7.693869
71,1.000000,-0.400000,52.534153,-9.028683
72,1.000000,-0.500000,48.547077,-9.836805
73,1.000000,-0.600000,44.400753,-10.184231
74,1.000000,-0.700000,40.279598,-10.186044
75,1.000000,-0.800000,36.279289,-9.976541
76,1.000000,-0.900000,32.416103,-9.673621
77,1.000000,1.000000,28.662683,7.422400
78,-0.900000,1.000000,3.068274,-1.506601
79,-0.800000,1.000000,5.839907,-2.508190
80,-0.700000,1.000000,8.645864,-3.706005
81,-0.600000,1.000000,11.479497,-5.285866
82,-0.500000,1.000000,14.265162,-7.329677
83,-0.400000,1.000000,16.873915,-9.846820
84,-0.300000,1.000000,19.121019,-12.730639
85,-0.200000,1.000000,20.806686,-15.702834
86,-0.100000,1.000000,21.799316,-18.298092
87,0.000000,1.000000,22.133646,-20.000010
88,0.100000,1.000000,22.076469,-20.378590
89,0.200000,1.000000,22.001753,-19.345360
90,0.300000,1.000000,22.165627,-17.160660
91,0.400000,1.000000,22.691071,-14.193377
92,0.500000,1.000000,23.535816,-10.819372
93,0.600000,1.000000,24.565350,-7.290253
94,0.700000,1.000000,25.641294,-3.710183
95,0.800000,1.000000,26.678915,-0.077810
96,0.900000,1.000000,27.671429,3.639403
97,-1.000000,1.000000,0.000000,-0.000000
98,-1.000000,-0.900000,0.000000,0.000000
99,-1.000000,-0.800000,0.000000,0.000000
100,-1.000000,-0.700000,0.000000,-0.000000
101,-1.000000,-0.600000,0.000000,-0.000000
102,-1.000000,-0.500000,0.000000,-0.000000
103,-1.000000,-0.400000,0.000000,-0.000000
104,-1.000000,-0.300000,0.000000,-0.000000
105,-1.000000,-0.200000,0.000000,-0.000000
106,-1.000000,-0.100000,-0.000000,-0.000000
107,-1.000000,0.000000,-0.000000,0.000000
108,-1.000000,0.100000,-0.000000,0.000000
109,-1.000000,0.200000,0.000000,0.000000
110,-1.000000,0.300000,0.000000,0.000000
111,-1.000000,0.400000,0.000000,0.000000
112,-1.000000,0.500000,0.000000,0.000000
113,-1.000000,0.600000,0.000000,0.000000
114,-1.000000,0.700000,0.000000,0.000000
115,-1.000000,0.800000,0.000000,-0.000000
116,-1.000000,0.900000,0.000000,-0.000000
117,0.060373,-0.694219,23.356890,18.903923
118,0.899494,0.697626,39.488613,4.351240
119,0.759218,0.700922,37.801285,-0.543101
120,0.688402,0.709737,36.501450,-2.946378
121,0.539860,0.700467,34.488514,-7.847477
122,0.472007,0.684388,33.822857,-10.023015
123,0.385091,0.699966,31.400127,-13.174088
124,0.305823,0.681626,30.165781,-15.637667
125,0.151957,0.691104,25.664246,-19.393110
126,0.053941,0.676793,22.754932,-19.794727
127,-0.058765,0.693911,18.996637,-18.090710
128,-0.162009,0.697325,16.103115,-14.999145
129,-0.255149,0.713560,14.066093,-11.978839
130,-0.375335,0.654196,9.861255,-7.574140
131,-0.482071,0.686587,8.464652,-5.196985
132,-0.591898,0.648859,5.814755,-2.785884
133,-0.674675,0.680940,4.952826,-1.812672
134,-0.793454,0.658193,2.841383,-0.509540
135,-0.902097,0.688891,1.376188,-0.026023
136,-0.907752,0.592181,0.965725,0.138786
137,-0.821497,0.590079,1.923243,-0.113438
138,-0.726818,0.583010,3.007411,-0.753625
139,-0.574853,0.567193,4.687795,-2.514721
140,-0.503727,0.587652,6.075434,-3.908439
141,-0.400668,0.552454,6.766339,-5.915633
142,-0.279467,0.608635,10.615168,-10.042666
143,0.365846,0.593918,35.284359,-12.915385
144,0.475846,0.601653,37.353119,-9.120039
145,0.552244,0.568752,40.337070,-6.310106
146,0.707228,0.581140,42.240971,-1.701434
147,0.812177,0.566273,44.174213,1.503606
148,0.885253,0.585155,44.102676,3.873651
149,0.350304,0.485399,40.895107,-12.762937
150,0.494111,0.478501,43.746811,-7.360672
151,0.602329,0.488834,44.952625,-4.157565
152,0.705072,0.494229,46.116215,-1.399315
153,0.783879,0.447087,49.086018,0.751955
154,0.871199,0.475545,48.693588,3.235573
155,0.465815,0.371025,49.076920,-7.445757
156,0.561617,0.359889,50.606113,-4.304179
157,0.782451,0.341442,53.433712,0.603381
158,0.913273,0.349627,54.099892,3.736947
159,0.462675,0.255803,54.577839,-6.521784
160,0.576494,0.265933,54.787170,-3.280531
