nodeLabel,x,y,U1,U2
1,0.374569,0.395025,18.782808,-11.848812
2,0.333554,0.388982,16.082766,-11.699742
3,0.285865,0.369327,13.331676,-10.942363
4,0.240626,0.344468,11.598304,-10.178246
5,0.113543,0.256065,7.188142,-7.899751
6,0.033689,0.190603,5.180915,-6.376838
7,-0.080430,0.085899,3.068329,-4.244437
8,-0.180777,-0.017641,1.896900,-2.434136
9,-0.274433,-0.127257,1.529539,-0.856169
10,-0.331558,-0.204558,1.803784,0.117421
11,-0.380830,-0.287023,2.748796,1.050421
12,-0.398827,-0.331532,3.747434,1.602401
13,-0.403344,-0.367866,5.277986,2.028512
14,-0.395290,-0.386236,6.978201,2.163662
15,-0.377112,-0.394714,8.600373,2.029871
16,-0.340682,-0.391040,10.785232,2.186024
17,-0.295768,-0.374078,13.503201,1.719761
18,-0.212184,-0.326730,16.996534,0.702367
19,-0.133581,-0.271411,19.823849,-0.479193
20,-0.058372,-0.211542,22.184223,-1.757229
21,0.014077,-0.148357,24.152294,-3.096671
22,0.084013,-0.082399,25.750084,-4.470227
23,0.156335,-0.008696,27.049530,-5.970244
24,0.225467,0.068004,27.795540,-7.479207
25,0.290641,0.148087,27.986090,-8.932520
26,0.349950,0.232581,27.295732,-10.340303
27,0.375850,0.277233,26.624739,-11.051879
28,0.396605,0.324453,25.057451,-11.560975
29,0.403596,0.365317,23.282904,-12.316729
30,0.395290,0.386236,20.627245,-12.165886
31,0.900000,-1.000000,21.139954,-9.129175
32,0.800000,-1.000000,20.134418,-8.120223
33,0.700000,-1.000000,19.085186,-7.157039
34,0.600000,-1.000000,17.967453,-6.212979
35,0.500000,-1.000000,16.778095,-5.250057
36,0.400000,-1.000000,15.533106,-4.235681
37,0.300000,-1.000000,14.260267,-3.148232
38,0.200000,-1.000000,13.000944,-1.986470
39,0.100000,-1.000000,11.801344,-0.777727
40,0.000000,-1.000000,10.703738,0.420875
41,-0.100000,-1.000000,9.738301,1.523760
42,-0.200000,-1.000000,8.903787,2.427869
43,-0.300000,-1.000000,8.153854,3.035177
44,-0.400000,-1.000000,7.400734,3.299842
45,-0.500000,-1.000000,6.594920,3.249215
46,-0.600000,-1.000000,5.613990,2.936659
47,-0.700000,-1.000000,4.492337,2.479454
48,-0.800000,-1.000000,3.241787,1.910337
49,-0.900000,-1.000000,1.846768,1.188201
50,1.000000,-1.000000,22.137171,-10.176787
