shape_id,a,b,theta
0,0.6767462409684497,0.16368494258426802,1.1822660314641258
1,0.6765257838497931,0.15421202424252056,2.9803974766080095
2,0.5921623210281586,0.4491872685603866,1.504054278893195
3,0.5638272969253317,0.24446551470217986,1.8627204375224404
4,0.6907794628139488,0.17010695775986479,2.1137328842043996
5,0.4417180855967513,0.21439032505835823,0.4489055233161191
6,0.640326548239629,0.5199894747667951,2.6698193228527294
7,0.7928348588894774,0.47985843285653895,2.190338288521182
8,0.39185257245198335,0.3601274119730362,2.4800241928605677
9,0.636056101111453,0.29013046396444786,0.44345468371332597
10,0.5925936839303365,0.288937237983617,1.4511772020900888
11,0.7556296856143441,0.2969753348558497,2.122280166675015
12,0.7449329281591006,0.1467629100257094,0.8275188538744257
13,0.65842121951954,0.4454234467550032,1.5533736483151366
14,0.7275223508979805,0.5627792763081366,0.4101850847663089
15,0.7264273024436247,0.5339871083386699,0.1772358706768698
16,0.41131823280062213,0.13106941293006594,0.39158103239553405
17,0.5068232493998068,0.4501547097124101,1.1154582268731423
18,0.36698159002444386,0.1887502313549822,1.5275882123621
19,0.44951457801961614,0.10278775949657364,0.8085990965032256
20,0.708747122157137,0.2456313861694887,2.0670178524428455
21,0.625469046242022,0.10590883791247488,2.8840087767501346
22,0.770387709443709,0.16861147846474012,1.9874946729846628
23,0.6687950036081355,0.4212786048136822,2.965616234312426
24,0.44680967318577414,0.21944305750207532,2.8001708586895644
25,0.5787567718840275,0.12927415733640593,1.6716854337792453
26,0.7046529274480109,0.11841355750557127,1.9512023233635862
27,0.4840188756834201,0.11633542676199204,1.6832611157796218
28,0.7022588198243834,0.38474426228858466,1.103417225600745
29,0.7981143201541396,0.696844007580976,0.5952136447220274
30,0.5852049676220397,0.4863590833586794,3.1220345403547642
31,0.556765833100966,0.13875164716329583,1.6385840984323383
32,0.4355105535853616,0.2525256726133937,2.164587239647529
33,0.6005404900135818,0.31812642849331896,0.05130652560372676
34,0.5977998001285714,0.13073872660924563,0.29064592747222334
35,0.5526591701583816,0.11765067915118871,0.773813898551836
36,0.6283152555035814,0.5974794655541047,1.7342937513225691
37,0.5404259942555539,0.12483977616281589,0.5575185046228601
38,0.7406120888914987,0.15638520422261623,1.2712658806229788
39,0.795775497757004,0.1646721077460674,2.853330999772157
40,0.7831073975720673,0.2168419375249054,2.701750526110713
41,0.6337121663529639,0.18919821152694083,0.30214170560624654
42,0.6667143038124503,0.12337318922285874,2.771804970045789
43,0.6721454780254528,0.14593397194297963,2.7307908014394475
44,0.7244433193061561,0.1732475077429154,1.4878338172856092
45,0.6593156583448727,0.11355115863152095,2.1884580224270884
46,0.7659935467425815,0.37796654715617517,0.7182473085843057
47,0.733924201090682,0.7216867189102829,1.5245839530745398
48,0.6697093566478657,0.2691634414018438,1.6518562840713213
49,0.7544858844828715,0.5217425676141815,2.542719433546803
50,0.4074473319975751,0.3874898372146073,2.8388980094155403
51,0.6002117973536448,0.4264582155201665,2.0534727158064427
52,0.6246500652186486,0.11542205626632841,2.1646429863085785
53,0.5896408859381805,0.14522695623981177,2.3173032482990092
54,0.7878146749717052,0.1841459750963118,1.036504780338587
55,0.30161452128772726,0.19339955733546027,2.9618252261796028
56,0.7255368754328944,0.17605382313746848,2.103597778169351
57,0.5442881704626797,0.2339134825182207,2.8823539355372323
58,0.4299418456000962,0.27252579149524375,0.9939160258546563
59,0.4442924228208234,0.10811051921530652,1.0039565471538565
60,0.7742630617466377,0.25468056924519894,1.4664135902855637
61,0.797769572711456,0.13191655348309034,2.550586088930994
62,0.6470275139910704,0.12980293672697213,0.8255751963465938
63,0.7909366154374733,0.12230917524259718,2.3788325153836674
64,0.3969750967867468,0.22196500838510125,0.654784310877752
65,0.23951088445304272,0.12661156117731465,0.29865222534944647
66,0.7955573755487622,0.6534042079344451,0.03205669570619316
67,0.3805407481892342,0.3645602853294464,2.5112695398413116
68,0.7229485243410573,0.5774947308951951,1.3828956126786027
69,0.7570343067615395,0.1855230465973467,0.49295264996543214
70,0.6567869657392332,0.13710379794752697,0.06633121900673045
71,0.6334016248660241,0.13029560329820522,2.5827038944356895
72,0.3056816983395932,0.21225011676537364,1.3382493264976563
73,0.7767927493253937,0.7232389945852586,2.253860047391991
74,0.4422724577162854,0.4065643406748973,0.9327273026363986
75,0.6339807753274347,0.14009866351236347,2.01548996195886
76,0.2873145278771427,0.24686380069969657,1.038925185513145
77,0.7436055997029276,0.17893764229550477,0.146758512035962
78,0.7315489066049121,0.6120795179113957,1.0593403031877007
79,0.7371308704342626,0.5017742269761348,0.15542539286045393
80,0.7132583945624149,0.42389264698411544,0.8692880519222772
81,0.6930296400745677,0.10924104486476854,0.29784409562569897
